time,signal,trend,periodic,ar_noise,pulses
0,102.63853228331689,102.63853228322701,0.0,0.0,8.988117304763599e-11
1,109.0045671811312,102.85120403812051,7.87094989152511,-1.7175867488972119,3.8278449020252306e-10
2,111.5921453756984,103.10715556819368,15.247149004646024,-6.762159198706305,1.5649995242643357e-09
3,101.98067054633063,103.38497937856383,21.36238486883496,-22.766693707210706,6.142547961093032e-09
4,107.53690517565673,103.80341655039332,25.550298940315148,-21.816810338196778,2.3145023574667465e-08
5,123.57657576464834,104.13868242625108,27.317627457812105,-7.879734203137266,8.372241835503487e-08
6,121.83870821142082,104.64410474683912,26.402217317171353,-9.207614143327397,2.907377472177599e-07
7,117.62585260759691,105.16955617319773,22.808894979841707,-10.35259951469564,9.692531027117253e-07
8,109.00260649222413,105.65214052486239,16.818389093872103,-13.467926228568288,3.1020579325010045e-06
9,105.50405711278431,106.27243916297594,8.967271752048468,-9.7356633332869,9.531046800671393e-06
10,92.07811726912831,106.89360729399475,3.60148899372288e-15,-14.815518138094435,2.8113227999041518e-05
11,87.36703185142368,107.6825254850754,-9.202736200283375,-11.112837042361852,7.960899349802792e-05
12,80.8673884262519,108.52463161295519,-17.71238150754465,-9.945078099148741,0.00021641999011661638
13,72.70845677253213,109.44425268277489,-24.64853491899944,-12.087825823876862,0.0005648326335461954
14,69.46352812795408,110.40631975379563,-29.27242521063102,-11.671781667307002,0.0014152520964577893
15,68.42274542021012,111.44443282076894,-31.0676274578121,-11.957464380297179,0.003404437550456788
16,67.43764964542164,112.53680031175425,-29.798939723168797,-15.308073473736346,0.00786253057254449
17,79.46618505475286,113.84465497076768,-25.542527332672005,-8.853376509230687,0.01743392588787083
18,77.15284947040868,115.26240279691073,-18.683461287172793,-19.463207753465074,0.03711571413580476
19,86.38131117357995,116.83559942167663,-9.880300372696352,-20.649857632257085,0.07586975685674624
20,101.12368349629268,118.58536315317161,-7.870296473470403e-15,-17.610599415526693,0.14891975864778553
21,114.93243239917756,120.45499486981704,9.970239788779839,-15.773501495278236,0.2806992358589244
22,131.2195359197181,122.39035837511692,19.02493600351111,-10.703892735017483,0.5081342761075639
23,142.9876366094616,124.63335884320036,26.24520726236846,-8.774459085558167,0.883529589450958
24,155.7740011734166,127.19235942523693,30.89526158369215,-3.789476933667118,1.4758570981546193
25,158.85916305968314,129.8667063443223,32.5,-5.876446069122322,2.36890278448318
26,166.9417457359501,132.7844016534396,30.895261583692154,-0.39268702767348085,3.6547695264918185
27,164.7266263225338,136.06168042081512,26.245207262368474,-3.002175023165698,5.421913662515932
28,163.4318870671578,139.5373182082058,19.02493600351115,-2.868673305387802,7.738306160828632
29,162.73866612864703,143.29432499855488,9.970239788779859,-1.1581343331599956,10.632235674472295
30,148.7410293897263,147.3035575395509,1.1805444710205606e-14,-12.637637742120468,14.075109592295863
31,150.130759853551,151.6550128073825,-9.880300372696336,-9.615456589645559,17.971504008510422
32,146.63441415595355,156.32976832239333,-18.683461287172776,-13.172788477433762,22.160895598166746
